Year,Film,Naz.,Distribuzione,Città,Incasso,Presenze,Incas. decen.,1a program.
2005,MADAGASCAR,USA,UIP-UNITED INT.PICT.,427.0,21190365,3622864,21198746.0,2-09-2005
2005,HARRY POTTER E IL CALICE DI FUOCO,U.K,WARNER BROS ITALIA,438.0,19238622,3228668,20127653.0,25-11-2005
2005,NATALE A MIAMI,ITA,FILMAURO S.R.L.,412.0,14889777,2415792,21243726.0,16-12-2005
2005,LA TIGRE E LA NEVE,ITA,01 DISTRIBUTION,429.0,14791015,2499964,14860025.0,14-10-2005
2005,MI PRESENTI I TUOI?,USA,UIP-UNITED INT.PICT.,428.0,14370122,2369757,14370122.0,11-02-2005
2005,MANUALE D’AMORE,ITA,FILMAURO S.R.L.,443.0,14015379,2345815,14015865.0,18-03-2005
2005,LA GUERRA DEI MONDI,USA,UIP-UNITED INT.PICT.,367.0,13228098,2196864,13229039.0,29-06-2005
2005,LA FABBRICA DI CIOCCOLATO,UK,WARNER BROS ITALIA,414.0,10808877,1850959,10843640.0,23-09-2005
2005,TI AMO IN TUTTE LE LINGUE DEL MONDO,ITA,MEDUSA FILM S.P.A.,431.0,10441962,1682654,20018008.0,16-12-2005
2005,"CHE PASTICCIO, BRIDGET JONES!",UK,UIP-UNITED INT.PICT.,423.0,10032225,1643059,10032225.0,7-01-2005
2005,I FANTASTICI 4,USA,20TH CENTURY FOX ITA.,403.0,9076840,1526803,9077408.0,16-09-2005
2005,SHARK TALE,USA,UIP-UNITED INT.PICT.,424.0,8774480,1527585,8775260.0,25-02-2005
2005,STAR WARS EPISODIO III: LA VENDETTA DEI SITH,USA,20TH CENTURY FOX ITA.,399.0,8447003,1384819,8447003.0,20-05-2005
2005,ALEXANDER,GER,WARNER BROS ITALIA,406.0,8359537,1395952,8360072.0,14-01-2005
2005,SHREK 2,USA,UIP-UNITED INT.PICT.,438.0,8349869,1409334,20863253.0,17-12-2004
2005,LE CRONACHE DI NARNIA...,USA,BUENA VISTA INT. ITALIA,430.0,8072455,1361431,16744579.0,21-12-2005
2005,MILLION DOLLAR BABY,USA,01 DISTRIBUTION,403.0,7788966,1320437,7789453.0,18-02-2005
2005,HITCH - LUI SI’ CHE CAPISCE LE DONNE,USA,SONY PICT. ITALIA S.R.L.,366.0,7642467,1251135,7642467.0,11-03-2005
2005,LE CROCIATE,USA,MEDUSA FILM S.P.A.,420.0,7478318,1259355,7480809.0,6-05-2005
2005,MR. & MRS. SMITH,USA,01 DISTRIBUTION,392.0,7239167,1163603,7780989.0,2-12-2005
2005,BATMAN BEGINS,UK,WARNER BROS ITALIA,363.0,6855425,1163263,6855759.0,17-06-2005
