Year,Distribuzione,Film,Giorni,Incasso,Presenze,%Presenze,%Incasso
2005,UIP-UNITED INT.PICTURES S.R.L.,34.0,129396.0,102127956,17121220,19.03,18.9
2005,WARNER BROS ITALIA S.P.A.,62.0,116516.0,76410222,12799820,14.24,14.13
2005,01 DISTRIBUTION,40.0,104578.0,62134391,10509518,11.58,11.6
2005,MEDUSA FILM S.P.A.,80.0,99815.0,55027642,9293133,10.25,10.26
2005,BUENA VISTA INT. ITALIA S.R.L.,51.0,81564.0,47552575,8039559,8.86,8.88
2005,EAGLE PICTURES S.P.A.,43.0,83911.0,38642085,6405620,7.2,7.07
2005,FILMAURO S.R.L.,14.0,31689.0,36755775,6044195,6.85,6.67
2005,SONY PICT. ITALIA S.R.L.,42.0,62314.0,33529497,5509873,6.25,6.08
2005,20TH CENTURY FOX ITALIA S.P.A.,40.0,61193.0,31288499,5252595,5.83,5.8
2005,BIM DISTRIB. S.R.L.,44.0,22359.0,9162043,1641627,1.71,1.81
2005,LUCKY RED DISTRIB.,43.0,21291.0,9023784,1626382,1.68,1.8
2005,MIKADO FILM S.P.A.,76.0,23371.0,8397642,1595588,1.56,1.76
2005,IST. LUCE S.P.A.,55.0,18779.0,7026824,1280454,1.31,1.41
2005,IIF-ITALIAN INTERNATIONAL FILM,14.0,13357.0,4535467,761806,0.85,0.84
2005,MEDIAFILM S.P.A.,12.0,6895.0,2983886,519722,0.56,0.57
2005,MOVIEMAX S.R.L.,7.0,10168.0,2509941,431324,0.47,0.48
2005,FANDANGO S.R.L.,24.0,8102.0,2445232,457443,0.46,0.51
2005,NEXO S.P.A.,7.0,4592.0,1747502,304360,0.33,0.34
2005,LADY FILM S.R.L.,21.0,3475.0,1203436,224630,0.22,0.25
2005,CDI-COMP. DISTR. INTERN.,7.0,4072.0,902211,154452,0.17,0.17
2005,TEODORA FILM S.R.L.,9.0,1968.0,728242,140132,0.14,0.15
2005,TIMECODE DISTR. S.R.L.,5.0,2834.0,691337,115366,0.13,0.13
2005,DNC DISTRIB. S.P.A.,7.0,1715.0,271934,47004,0.05,0.05
2005,INDIPENDENTI REGIONALI,21.0,945.0,254892,53916,0.05,0.06
2005,METACINEMA S.R.L.,6.0,1491.0,183156,33631,0.03,0.04
2005,MINERVA PICTURES S.R.L.,6.0,554.0,163465,29139,0.03,0.03
2005,PABLO DISTR. INDIP.,10.0,473.0,133965,31623,0.02,0.03
2005,KEY FILMS,9.0,348.0,101812,17005,0.02,0.02
2005,E.P. PRODUCTION S.R.L.,6.0,984.0,101697,18279,0.02,0.02
