Year,Film,Naz.,Distribuzione,Città,Incasso,Presenze,Incasso Totale,1a program.,n. copie 1° we,%Incasso
2005,NATALE A MIAMI,ITA,FILMAURO S.R.L.,412.0,14889777,2415792,21243726.0,16-12-2005,,
2005,LA TIGRE E LA NEVE,ITA,01 DISTRIBUTION,429.0,14791015,2499964,14860025.0,14-10-2005,,
2005,MANUALE D’AMORE,ITA,FILMAURO S.R.L.,443.0,14015379,2345815,14015865.0,18-03-2005,,
2005,TI AMO IN TUTTE LE LINGUE DEL MONDO,ITA,MEDUSA FILM S.P.A.,431.0,10441962,1682654,20018008.0,16-12-2005,,
2005,TU LA CONOSCI CLAUDIA?,ITA,MEDUSA FILM S.P.A.,417.0,6100953,981948,16877871.0,15-12-2004,,
2005,MELISSA P.,COP,SONY PICT. ITALIA S.R.L.,335.0,6002562,984214,6018334.0,18-11-2005,,
2005,CHRISTMAS IN LOVE,ITA,FILMAURO S.R.L.,403.0,5942407,952251,17441994.0,17-12-2004,,
2005,LA BESTIA NEL CUORE,COP,01 DISTRIBUTION,385.0,4932220,852972,4982330.0,8-09-2005,,
2005,ROMANZO CRIMINALE,COP,WARNER BROS ITALIA,371.0,4822864,802231,4845351.0,30-09-2005,,
2005,IL MERCANTE DI VENEZIA,COP,IST. LUCE S.P.A.,384.0,3937701,697744,3949639.0,11-02-2005,,
2006,IL MIO MIGLIOR NEMIOCO,ITA,FILMAURO S.R.L.,438.0,18552372,3166633,18552640.0,10-03-2006,,
2006,NATALE A NEW YORK,ITA,FILMAURO S.R.L.,411.0,18195456,2935490,23419780.0,15-12-2006,,
2006,NOTTE PRIMA DEGLI ESAMI,ITA,01 DISTRIBUTION,433.0,12432239,2140459,12437208.0,17-02-2006,,
2006,TI AMO IN TUTTE LE LINGUE DEL...,ITA,MEDUSA FILM S.P.A.,414.0,9577273,1553219,20019235.0,16-12-2005,,
2006,ECCEZZIUNALE VERAMENTE CAP...,ITA,01 DISTRIBUTION,140.0,6921900,1138841,6921984.0,20-01-2006,,
2006,IL CAIMANO,ITA,SACHER DISTRIB. S.R.L.,399.0,6795728,1201773,6796691.0,24-03-2006,,
2006,ANPLAGGHED AL CINEMA,ITA,MEDUSA FILM S.P.A.,411.0,6444608,1051562,6491721.0,24-11-2006,,
2006,NATALE A MIAMI,ITA,FILMAURO S.R.L.,386.0,6347128,1019959,21236905.0,16-12-2005,,
2006,OLE',ITA,MEDUSA FILM S.P.A.,358.0,6343860,1028828,8188093.0,15-12-2006,,
2006,LA SCONOSCIUTA,ITA,MEDUSA FILM S.P.A.,394.0,3704846,640683,3853707.0,20-10-2006,,
2007,NATALE IN CROCIERA,ITA,FILMAURO,424.0,19293910,3074353,23461775.0,14-12-2007,,
2007,MANUALE D'AMORE 2 - CAPITOLI...,ITA,FILMAURO,424.0,19031518,3134777,19031518.0,19-01-2007,,
2007,UNA MOGLIE BELLISSIMA,ITA,MEDUSA FILM,400.0,14746931,2306638,20029904.0,14-12-2007,,
2007,HO VOGLIA DI TE,ITA,WARNER BROS ITALIA,447.0,13805996,2309624,13805996.0,9-03-2007,,
2007,NOTTE PRIMA DEGLI ESAMI - OGGI,ITA,01 DISTRIBUTION,443.0,12158782,2057238,12160146.0,14-02-2007,,
2007,MATRIMONIO ALLE BAHAMAS,ITA,MEDUSA FILM,416.0,9809180,1609684,9814547.0,16-11-2007,,
2007,SATURNO CONTRO,ITA,MEDUSA FILM,417.0,7749223,1321718,7749223.0,23-02-2007,,
2007,IL 7 E L'8,ITA,MEDUSA FILM,417.0,7742348,1330847,7742348.0,16-03-2007,,
2007,COME TU MI VUOI,ITA,MEDUSA FILM,417.0,7081702,1159377,7094119.0,9-11-2007,,
2007,MIO FRATELLO E' FIGLIO UNICO,COP,WARNER BROS ITALIA,443.0,6354491,1077279,6358720.0,20-04-2007,,
2008,NATALE A RIO,ITA,FILMAURO S.R.L.,418.0,17672349,2777062,24675997.0,19-12-2008,,
2008,"GRANDE, GROSSO E... VERDONE",ITA,FILMAURO S.R.L.,454.0,12940795,2173688,12940795.0,7-03-2008,,
2008,SCUSA MA TI CHIAMO AMORE,ITA,MEDUSA FILM S.P.A.,443.0,12670074,2098498,12670074.0,25-01-2008,,
2008,GOMORRA,ITA,01 DISTRIBUTION,440.0,10165600,1741626,10181771.0,16-05-2008,,
2008,IL COSMO SUL COMO',ITA,MEDUSA FILM S.P.A.,350.0,9813099,1512267,13126748.0,19-12-2008,,
2008,L'ALLENATORE NEL PALLONE 2,ITA,MEDUSA FILM S.P.A.,414.0,7651558,1273355,7651558.0,11-01-2008,,
2008,PARLAMI D'AMORE,ITA,01 DISTRIBUTION,440.0,7490612,1254486,7490612.0,14-02-2008,,
2008,LA FIDANZATA DI PAPA',ITA,MEDUSA FILM S.P.A.,408.0,7166454,1166183,7168445.0,14-11-2008,,
2008,CAOS CALMO,ITA,01 DISTRIBUTION,414.0,5379966,924395,5380112.0,8-02-2008,,
2008,UNA MOGLIE BELLISSIMA,ITA,MEDUSA FILM S.P.A.,411.0,5283393,859606,20030324.0,14-12-2007,,
2009,NATALE A BEVERLY HILLS,ITA,FILMAURO S.R.L.,419.0,16479369,2553699,20983634.0,18-12-2009,,
2009,CADO DALLE NUBI,ITA,MEDUSA FILM S.P.A.,405.0,12787578,2078499,14082203.0,27-11-2009,,
2009,ITALIANS,ITA,FILMAURO S.R.L.,432.0,12159598,1988535,12159598.0,23-01-2009,,
2009,EX,ITA,01 DISTRIBUTION,435.0,10654418,1766991,10654418.0,6-02-2009,,
2009,BAARIA,ITA,MEDUSA FILM S.P.A.,454.0,10534981,1802659,10549998.0,25-09-2009,,
2009,IO & MARILYN,ITA,MEDUSA FILM S.P.A.,388.0,8883900,1358691,13166993.0,18-12-2009,,
2009,LA MATASSA,ITA,MEDUSA FILM S.P.A.,437.0,7564618,1297815,7564831.0,13-03-2009,,
2009,NATALE A RIO,ITA,FILMAURO S.R.L.,421.0,7003648,1096204,24678792.0,19-12-2008,,
2009,UN'ESTATE AI CARAIBI,ITA,MEDUSA FILM S.P.A.,382.0,3705209,626478,3705209.0,12-06-2009,,
2009,QUESTO PICCOLO GRANDE AMORE,ITA,MEDUSA FILM S.P.A.,407.0,3682308,613685,3682308.0,11-02-2009,,
2010,BENVENUTI AL SUD,ITA,MEDUSA FILM S.P.A.,470.0,29699918,4889317,29841490.0,01-10-10,,
2010,"IO, LORO E LARA",ITA,WARNER BROS ITALIA S.P.A.,455.0,15788992,2537203,15788992.0,05-01-10,,
