Year,Numero spettacoli,Ingressi,Presenze,Spesa al botteghino,Spesa del pubblico,Volume d'affari
2000,799898,109969494,0,589499230,0,0
2001,877640,100911219,0,529417499,0,0
2002,981887,111493028,0,629384678,0,0
2003,1074224,105030086,0,608563592,0,0
2004,1151152,115104001,115104001,656399000,0,0
2005,1193772,104684194,0,599511000,0,0
2006,1220229,104979882,0,601218000,678812668,682074910
2007,1266082,116429995,942435,669613228,743362280,746989794
2008,1513907,111017381,793513,636660388,698611949,736823790
2009,1785945,109228858,2245762,664069294,743347501,750300487
2010,2558481,120582757,2136615,772772356,849841907,872001016
2011,2975624,112119910,2298670,697209369,751456158,788370194
2012,2983555,100145746,2487362,637100929,716822785,721279959
2013,3014642,105739720,384713,643338272,732299026,734332398
2014,3016007,98252309,52968,600067117,690685660,692344696
2015,3096351,106734556,281970,664260044,770232824,772479044
2016,3226957,113832522,396055,695061654,810304243,812685558
2017,3142790,99621416,542213,619419123,732889604,734716911
2018,3164690,91687699,509876,579498824,682410753,684292697
2019,3245345,104439213,365374,667911768,791989946,793600487
2020,996009,30305771,65096,189537983,212155149,0
2021,1350766,26732626,73407,177149872,185916560,0
