Year,Mese,Incasso,%Incasso,Presenze,%Presenze,Film 1a vis.,Film ita 1a v.
2005,gennaio,72040460,13.41,11847755,13.07,21.0,3.0
2005,febbraio,47868797,8.91,8088129,8.92,28.0,9.0
2005,marzo,51419117,9.57,8793292,9.7,33.0,8.0
2005,aprile,40136646,7.47,6887118,7.6,45.0,16.0
2005,maggio,27612685,5.14,4736472,5.22,35.0,12.0
2005,giugno,20731573,3.86,3545692,3.91,45.0,17.0
2005,luglio,19148406,3.56,3261066,3.6,31.0,2.0
2005,agosto,15825586,2.95,2726730,3.01,28.0,2.0
2005,settembre,51804459,9.64,8818334,9.73,34.0,10.0
2005,ottobre,55847878,10.4,9398804,10.37,32.0,3.0
2005,novembre,55968944,10.42,9512615,10.49,36.0,12.0
2005,dicembre,78734478,14.66,13054927,14.4,24.0,4.0
2006,gennaio,71927525,13.21,11902843,12.96,24.0,6.0
2006,febbraio,41801915,7.68,7156170,7.79,30.0,10.0
2006,marzo,51279579,9.42,8966897,9.76,38.0,10.0
2006,aprile,57837942,10.62,9665234,10.52,38.0,12.0
2006,maggio,49400268,9.07,8375570,9.12,30.0,10.0
2006,giugno,28567048,5.25,4778409,5.2,53.0,8.0
2006,luglio,14503204,2.66,2553622,2.78,35.0,6.0
2006,agosto,19640464,3.61,3470023,3.78,21.0,2.0
2006,settembre,46661120,8.57,7870395,8.57,35.0,10.0
2006,ottobre,46566676,8.55,7821469,8.51,27.0,6.0
2006,novembre,43777229,8.04,7420538,8.08,31.0,13.0
2006,dicembre,72472121,13.31,11890734,12.94,23.0,7.0
2007,gennaio,82423437,13.34,13642739,13.16,27.0,9.0
2007,febbraio,60121850,9.73,10133699,9.78,26.0,8.0
2007,marzo,62112179,10.05,10554264,10.18,40.0,16.0
2007,aprile,43957370,7.11,7414671,7.15,30.0,7.0
2007,maggio,44539792,7.21,7541899,7.28,26.0,9.0
2007,giugno,31330100,5.07,5297681,5.11,42.0,12.0
2007,luglio,29405351,4.76,5090962,4.91,29.0,5.0
2007,agosto,17604577,2.85,3066101,2.96,31.0,3.0
2007,settembre,53108386,8.6,8935992,8.62,28.0,10.0
2007,ottobre,47700309,7.72,8099390,7.81,29.0,11.0
2007,novembre,59192030,9.58,9871970,9.52,46.0,17.0
2007,dicembre,86359748,13.98,13998200,13.51,17.0,4.0
2008,gennaio,78052657,13.13,12951748,13.03,25.0,8.0
2008,febbraio,55841069,9.39,9389290,9.44,29.0,9.0
2008,marzo,55912245,9.41,9608203,9.66,31.0,13.0
2008,aprile,40717725,6.85,7094301,7.13,42.0,14.0
2008,maggio,42536139,7.16,7103196,7.14,39.0,16.0
2008,giugno,31124912,5.24,5198851,5.23,29.0,8.0
2008,luglio,22204764,3.74,3846801,3.87,27.0,2.0
2008,agosto,24892468,4.19,4198963,4.22,23.0,1.0
2008,settembre,48132448,8.1,8115966,8.16,31.0,15.0
2008,ottobre,49381023,8.31,8302556,8.35,34.0,13.0
2008,novembre,62464212,10.51,10294602,10.35,35.0,16.0
