Year,Regione,Incasso,%Incasso,Presenze,%Presenze
2005,LOMBARDIA,102005889,18.99,16012898,17.66
2005,LAZIO,93063879,17.33,15533813,17.13
2005,VENETO,60749006,11.31,10498852,11.58
2005,EMILIA ROMAGNA,57754609,10.75,9529567,10.51
2005,TOSCANA,43205028,8.04,6882348,7.59
2005,PIEMONTE,41979750,7.82,7426270,8.19
2005,CAMPANIA,38730191,7.21,7063596,7.79
2005,MARCHE,26073208,4.85,4425129,4.88
2005,PUGLIA,22820900,4.25,4199950,4.63
2005,SICILIA,20559799,3.83,3869244,4.27
2005,LIGURIA,20397407,3.8,3501019,3.86
2005,SARDEGNA,9799363,1.82,1728248,1.91
2006,LOMBARDIA,103081557,18.93,16156356,17.59
2006,LAZIO,93647241,17.2,15809909,17.21
2006,VENETO,62460942,11.47,10609186,11.55
2006,EMILIA ROMAGNA,58768932,10.79,9739712,10.6
2006,TOSCANA,42491917,7.8,6764751,7.36
2006,PIEMONTE,41612760,7.64,7462699,8.12
2006,CAMPANIA,39503597,7.26,7106673,7.74
2006,MARCHE,27005711,4.96,4673167,5.09
2006,PUGLIA,24688363,4.53,4498786,4.9
2006,SICILIA,21941309,4.03,4017988,4.37
2006,LIGURIA,19834519,3.64,3366841,3.66
2006,SARDEGNA,9398243,1.73,1665836,1.81
2007,LOMBARDIA,116437159,18.85,18112777,17.48
2007,LAZIO,104317911,16.88,17613889,16.99
2007,VENETO,67483665,10.92,11320776,10.92
2007,EMILIA ROMAGNA,63873139,10.34,10408583,10.04
2007,CAMPANIA,48185502,7.8,8659594,8.35
2007,TOSCANA,47824145,7.74,7549909,7.28
2007,PIEMONTE,46474632,7.52,8328619,8.04
2007,MARCHE,30988842,5.02,5205843,5.02
2007,PUGLIA,30337346,4.91,5497381,5.3
2007,SICILIA,29048983,4.7,5302605,5.12
2007,LIGURIA,21414386,3.47,3610113,3.48
2007,SARDEGNA,11466913,1.86,2037077,1.97
2008,LOMBARDIA,114351124,19.24,17732640,17.83
2008,LAZIO,100074941,16.84,16960436,17.06
2008,VENETO,64982048,10.93,10771303,10.83
2008,EMILIA ROMAGNA,63046421,10.61,10230659,10.29
2008,CAMPANIA,48304831,8.13,8623071,8.67
2008,TOSCANA,44810586,7.54,7046838,7.09
2008,PIEMONTE,44679375,7.52,7935913,7.98
2008,MARCHE,29523249,4.97,5041098,5.07
2008,PUGLIA,29116840,4.9,5281129,5.31
2008,SICILIA,24956775,4.2,4561935,4.59
2008,LIGURIA,19766341,3.33,3309793,3.33
2008,SARDEGNA,10781042,1.81,1941271,1.95
2009,LOMBARDIA,118425992,18.99,17400937,17.56
2009,LAZIO,104710073,16.79,16787481,16.94
2009,EMILIA ROMAGNA,66121484,10.6,10300374,10.39
2009,VENETO,65923303,10.57,10503758,10.6
2009,CAMPANIA,49409386,7.92,8216504,8.29
2009,PIEMONTE,46432515,7.44,7750901,7.82
2009,TOSCANA,45649970,7.32,6856952,6.92
2009,PUGLIA,33606558,5.39,5777753,5.83
2009,MARCHE,31836703,5.1,5223926,5.27
2009,SICILIA,30773615,4.93,5302759,5.35
2009,LIGURIA,20192262,3.24,3169083,3.2
2009,SARDEGNA,10652429,1.71,1825427,1.84
2010,LOMBARDIA,136061821,18.5,19103146,17.36
2010,LAZIO,126586633,17.22,18913284,17.19
2010,VENETO,77759117,10.58,11645276,10.58
2010,EMILIA ROMAGNA,74236356,10.1,11054862,10.05
2010,CAMPANIA,62284560,8.47,9714245,8.83
2010,PIEMONTE,55755926,7.58,8608042,7.82
2010,TOSCANA,54683377,7.44,7836427,7.12
2010,PUGLIA,37733143,5.13,6161816,5.6
2010,MARCHE,36767116,5.0,5802965,5.27
2010,SICILIA,35355948,4.81,5528093,5.02
2010,LIGURIA,23993410,3.26,3485551,3.17
2010,SARDEGNA,14058736,1.91,2188697,1.99
2011,LOMBARDIA,126127770,13.06,19018427,17.78
2011,LAZIO,113539762,17.16,17151338,16.92
2011,VENETO,67972270,10.27,10419653,10.28
2011,EMILIA ROMAGNA,67085704,10.14,10027292,9.89
2011,CAMPANIA,52914128,8.0,8277482,8.46
2011,PIEMONTE,50860958,7.69,8024065,7.92
2011,TOSCANA,47181709,7.13,6881732,6.79
2011,PUGLIA,35450367,5.36,6077526,6.0
2011,MARCHE,33869512,5.12,5470423,5.4
2011,SICILIA,33187290,5.02,5524709,5.45
2011,LIGURIA,21541133,3.26,3128538,3.09
2011,SARDEGNA,11947830,1.81,2042317,2.02
2012,LOMBARDIA,121927224,20.0,17248024,18.87
2012,LAZIO,105963784,17.38,15459107,16.92
2012,VENETO,65185121,10.69,9883204,10.81
2012,EMILIA ROMAGNA,61488732,10.09,8922172,9.76
2012,CAMPANIA,47942166,7.87,7637125,8.36
2012,PIEMONTE,46578494,7.64,7313042,8.0
2012,TOSCANA,44996424,7.38,6434819,7.04
2012,PUGLIA,29972312,4.92,5016122,5.49
2012,MARCHE,28394151,4.66,4472277,4.89
2012,SICILIA,26488529,4.35,4328515,4.74
2012,LIGURIA,19890382,3.26,2904746,3.18
2012,SARDEGNA,10704269,1.76,1769416,1.94
2013,LOMBARDIA,121819197,19.7,17916874,18.4
2013,LAZIO,104270944,16.86,15985402,16.41
2013,VENETO,66122969,10.69,10500089,10.78
2013,EMILIA ROMAGNA,62489815,10.1,9528872,9.78
2013,CAMPANIA,50647920,8.19,8449625,8.68
2013,PIEMONTE,47745404,7.72,7791238,8.0
2013,TOSCANA,44115595,7.13,6651393,6.83
2013,PUGLIA,32859248,5.31,5757272,5.91
2013,MARCHE,29214993,4.72,4912537,5.04
2013,SICILIA,28907242,4.67,5048766,5.18
